TA DIFFUSER 0.020,,,,TA DIFFUSER 0.025,,,,TA DIFFUSER 0.030,,,,TA DIFFUSER 0.035,,,,TA QUADRANT 1,,TA QUADRANT 2,
X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,radius,inst_Vmag,radius,inst_Vmag
0.02,-0.028908658,0.035152738,3.419954086,0.025,-0.029235839,0.038467391,1.94641348,,,,,0.035,-0.030190201,0.046221859,1.058895799,0.027217467,5.143775459,0.027217457,4.660170077
0.02,-0.028935839,0.035175096,3.42042805,0.025,-0.029275101,0.038497222,1.906767372,,,,,0.035,-0.030253624,0.046263256,1.037853077,0.027420598,5.083989944,0.027420614,4.535985045
0.02,-0.02896302,0.035197455,3.420902014,0.025,-0.029314362,0.038527146,1.864916168,,,,,0.035,-0.030317047,0.046304821,1.01398556,0.02762372,5.015462678,0.027623736,4.416383179
0.02,-0.028990201,0.035219813,3.421375978,0.025,-0.029353624,0.038557056,1.824463734,,,,,0.035,-0.03038047,0.046346381,0.98655509,0.02782683,4.921863114,0.027826825,4.354956221
0.02,-0.029017383,0.035242172,3.421076215,0.025,-0.029392886,0.038586949,1.784287741,,,,,0.035,-0.030443893,0.046387946,0.959025867,0.028030143,4.844704387,0.028030054,4.343295353
0.02,-0.029044564,0.035264533,3.4153927,0.025,-0.029432148,0.038616843,1.744111748,,,,,0.035,-0.030507315,0.046429572,0.927085607,0.028233197,4.796984754,0.028233213,4.353317969
0.02,-0.029071745,0.035286927,3.39299517,0.025,-0.029471409,0.038646737,1.703935755,,,,,0.035,-0.030570738,0.046471323,0.90108497,0.028436364,4.761719152,0.028436302,4.388537314
0.02,-0.029098926,0.03530933,3.367521071,0.025,-0.029510671,0.038676664,1.669643294,,,,,0.035,-0.030634161,0.046513069,0.881794887,0.028639381,4.729676141,0.028639512,4.447837954
0.02,-0.029126107,0.035331733,3.343460594,0.025,-0.029549933,0.038706675,1.643516671,,,,,0.035,-0.030697584,0.046554821,0.865612518,0.028842493,4.700233827,0.02884247,4.50373797
0.02,-0.029153289,0.035354136,3.317428532,0.025,-0.029589195,0.038736711,1.620728842,,,,,0.035,-0.030761007,0.046596672,0.853008046,0.029045574,4.675983497,0.029045518,4.548273211
